X2024-3,U3047,X2024-4,U3056,U3020,U3071,X2024-2,U3117,U3073,U3017,X2024-1,U3039,U3013
ENSG00000000003,7.94538830335943,10.6424224691728,7.83263899386144,9.47888407049034,9.58809357954173,9.55417766330714,8.02673259283651,9.24842471836079,9.22391853891659,9.69609623588884,7.48598625572796,10.2353889823642,9.71749924044664
ENSG00000000460,6.59828017081138,8.15889721277699,6.52844803209806,8.73657381045364,8.77723584314866,8.62301610201157,6.81723848968873,8.07905118579722,8.40479122559286,8.05454498920711,6.72652394171337,8.3128186087534,9.05664089968906
ENSG00000000971,8.81682432372882,6.24387743081612,8.56156642944853,5.88968124369097,6.58015829001123,11.7965894943621,8.9257816257865,7.49034598924494,7.76464845041742,5.68284451378311,7.63646143318034,8.5695428367655,6.63840577363219
ENSG00000001036,8.63623375335156,9.48237658174797,8.27474701206974,9.90672339927303,10.9316080696502,11.1976461132498,8.36983377477385,9.50508004714066,8.60622419387744,9.60657046127051,8.41828727292446,10.4095609375963,11.1576754161715
ENSG00000001460,9.04396491693174,6.47142022818144,9.17992217404228,5.68284451378311,6.27561037278655,6.19733769597893,9.30712550342562,6.24116274771668,8.06914439303293,5.87582114587221,9.38533599649279,6.17242075521853,6.82085904203488
ENSG00000001461,10.9546289838656,9.95114020397548,11.2785204125633,7.64849775815151,8.82527370871503,9.48461845486158,11.2314114376977,10.3418096933495,10.9926171583904,8.47118275734556,11.5818609602569,7.65399174857484,10.5221287827139
ENSG00000001561,9.79359663884954,8.26834949623497,10.0731205805306,5.68284451378311,5.96380252521584,6.04760468642132,9.73356933065981,5.86998289389508,6.51489256038635,5.68284451378311,9.49945955376972,6.13641175416405,7.8915866746313
ENSG00000001617,8.19647689609725,6.17831407884293,8.50876963197669,5.68284451378311,6.33716860447988,5.68284451378311,7.9300115467572,6.05633982564,6.27520941131478,5.9555519989533,7.36982055207947,6.26681689354766,6.11640551871915
ENSG00000002586,9.20494650751212,11.3933633612319,8.75886373335188,8.66584732097816,13.1107168085689,11.8556252747433,9.7438704444613,11.6248689597251,10.7084540129808,10.725887678512,8.41828727292446,11.8206973212171,11.7345771559463
ENSG00000002587,8.03668281496882,9.0389975487827,8.07521943748856,6.26442239974694,7.76587189072612,6.95945246848098,7.85915566114945,8.83615859150958,6.36528317425941,6.06794128148704,7.97910919380145,8.68051696965576,8.0380812752985
ENSG00000002746,10.3854412258286,6.5712747697339,10.9777001883469,6.44840586315469,5.68284451378311,6.19733769597893,10.6749790450522,6.68810230735074,5.88153238041385,6.37256334707479,10.5199218316642,8.34425367400633,5.95766986836285
ENSG00000002933,8.67084902356284,5.87090291931701,8.76701845614942,5.68284451378311,7.35606318140757,6.37646902666591,8.06693558342372,6.32622086681616,5.68284451378311,6.53410313598941,7.09587262307932,6.34734098166196,7.10658207649157
ENSG00000003096,7.76653246373945,10.9889073535611,7.46049846427159,8.8515249551973,9.49497013983563,9.45308751384453,7.50297303021311,9.72255902431018,9.83560326886438,10.1177100024639,7.66876206785203,8.65901698737332,9.7318987279396
ENSG00000003137,9.26791812847593,6.47142022818144,9.58411336356215,5.68284451378311,6.30719534132817,7.1806392240861,9.03116022891523,6.48861964243837,6.65837749265653,6.06794128148704,9.12900572205871,6.41857243287531,7.23521151032833
ENSG00000003147,9.29564527404242,7.49062137726831,9.34587974429064,7.20181086071569,5.68284451378311,6.19733769597893,9.56168399895118,7.04548116716283,6.30677365066605,7.8592781720089,9.92244483898129,6.57923108286019,6.23004080716854
ENSG00000003249,10.4677434913702,8.93870853833166,10.7631637087795,7.5379749960508,9.26996126998705,9.22648667588703,10.6642006611824,9.27099130406909,8.04165842117901,8.64011135551556,11.2587433000781,9.14154880726977,9.1167086074455
ENSG00000003436,6.57328704933843,10.1185412887136,7.03367239191093,7.64849775815151,9.48906661136919,9.62253215394291,6.81723848968873,9.27099130406909,8.31701514869215,6.11307912353526,6.8655437438189,9.33634584851003,6.99908999705032
ENSG00000003987,9.56050888345368,6.93349136261756,9.91525155702172,6.59344777995592,7.13602535158884,6.3447568195407,9.56750104887311,6.17591013055667,6.78097883361069,6.22586080415709,9.31987975128613,6.78669827719881,6.47530309789905
ENSG00000003989,8.49818028607003,7.75146948202488,9.12105302686794,6.65703415218168,5.68284451378311,7.74687210794166,9.82694921021,6.05633982564,5.68284451378311,8.0441272742249,6.84375008074582,6.34734098166196,6.69200222631688
ENSG00000004399,10.2340037700119,11.0942397268057,10.8414613152944,8.40636287320655,11.1925223970879,12.1005389568197,10.3579290929811,10.6541764699359,11.3409979198034,9.88549930871805,10.5377646366707,9.30338994931295,11.208169752459
ENSG00000004660,12.188637111093,7.16822919816963,12.3466549794111,6.93588735682342,7.34648100911934,7.34360653355081,12.4903790077038,6.98827217308397,7.19144854240236,6.84189614550061,12.20053146042,7.03640352769303,6.70915319507894
ENSG00000004700,7.91598427181883,9.95496716386923,8.10840365299998,9.94758632157679,11.0679623501624,11.5593824118495,8.22680305982969,9.88507251053485,10.8864743134758,9.88831278974853,7.6144594937967,9.75518118101547,10.8016864922057
ENSG00000004776,8.42873110111533,6.27381801549058,8.92090157684149,6.29918841102047,7.59748909709768,7.70706514745018,8.78863368493004,7.849574485293,6.44410519238012,6.19116002532065,8.31126552927258,7.77845483868518,6.85046348792215
ENSG00000004799,11.2859522620456,5.87090291931701,9.9563763526977,5.68284451378311,5.68284451378311,6.3447568195407,9.64288190141302,6.13964887148781,6.16762909861401,6.25838204169679,7.89260331027024,6.48300609598097,6.51942421687156
ENSG00000004848,9.22239903365044,8.00446070411472,8.83060537093995,9.65463499569197,6.3657430316456,7.68257253860249,8.89816055191407,7.39604050147127,6.76445651372974,9.67341820093802,8.68721277191291,9.66977546203111,7.8306040275695
ENSG00000004864,7.3090139185469,9.14168160161335,7.60357460548678,10.746854596024,10.1820278196127,10.4414383802801,7.54601169198467,9.72404177633023,9.4634939906605,9.46647754966124,7.47361557806832,9.89013951032667,10.2807378048895
ENSG00000005020,9.61860840307778,8.59284513395163,9.70880199087242,8.71093062489452,6.639999101421,10.4253430487017,9.68270850606736,7.72407539585234,8.3659842839722,10.1343820799144,9.97585515289695,9.6093416274486,8.61956268789779
ENSG00000005059,7.16786256634787,8.78222616204344,7.32285931956703,8.27102883517999,8.67241717196375,9.50232836394064,7.33405630618468,9.31112650251501,9.73309877646886,8.52368467984807,7.21036722705576,9.50257129011468,9.04121739334827
ENSG00000005108,9.25949352542494,7.49823239500035,8.83835521061538,6.9206472041186,7.81961573705679,6.91224215829712,8.300187033213,8.53476558834386,6.07928586664725,8.0441272742249,8.47174969765836,10.390401780425,8.64033889641483
ENSG00000005249,11.1132412285213,9.53798826154606,11.2869362627904,8.18721888492995,7.74512753311151,8.59404325467128,11.2573277173633,9.28113170138014,8.53455547833151,7.98532979076092,10.6340471156553,9.69980464281869,9.15538509096052
ENSG00000005379,12.3245184701883,7.36186654527823,11.9553327762608,5.97510639371777,6.20642178735447,6.10366258974753,11.4987537562073,6.90244582263041,5.9636104210119,8.20183878050311,11.9112922786397,6.3216979170915,6.32307560207656
ENSG00000005486,12.4205152699285,10.7628170282722,12.4309966012724,11.056733792419,10.5359307554951,10.9503689693873,12.5115602033422,11.3344877358985,10.7210316192534,11.0723096560328,13.0906865692528,11.646536703662,10.2643536951316
ENSG00000005513,9.89459943413683,11.1491613550443,9.872912934659,11.007892237814,7.95693168289828,10.7936118566543,9.99723302145716,11.0236505696191,5.9636104210119,12.5698328057163,10.3407218085242,12.6937594098469,10.210633298093
ENSG00000005810,12.1209719010858,9.80326386409875,12.377182052345,9.73771802759733,10.2965073133949,10.7601041385523,12.1140535038604,9.51025210341675,9.39364905164372,9.26623306856963,12.5044052597194,10.2435496435154,9.05408195463826
ENSG00000005882,11.2213427115559,9.21836591567093,10.973360474415,8.36430038943439,8.27702220050263,8.2966108814334,11.0279595398398,9.26077812055457,8.56518307905284,9.05595498829514,11.1254161189196,9.33826088748419,9.17903339483528
ENSG00000005884,9.13290961297827,11.3740061378116,9.44750253326189,11.6674548873264,13.9887412326399,12.9087450687815,9.27423391582669,12.9410092362926,13.9898925351017,7.20391997445908,9.51345241537731,10.0662263862781,13.571584223397
ENSG00000006015,9.97023117694547,9.15957810043338,9.97389551921373,9.14356339106552,7.8775371771976,7.96304480373511,10.0171649242804,8.8306132892717,8.20366716767931,8.47880597996089,11.1434442763705,8.20104683499905,8.44904442929545
ENSG00000006016,9.56506286323393,6.17831407884293,9.21292106192207,5.68284451378311,5.88166853947583,6.43560909945085,9.89319680955492,6.13964887148781,6.20606654986635,6.01659436100509,9.73250041745084,6.54218079852125,6.75870576003375
ENSG00000006042,8.61415496376584,9.94217073776138,8.58491749516481,8.82450940667944,5.88166853947583,9.58149655767869,8.12235528709701,8.44250709176075,5.9636104210119,10.1461733547922,8.55101443193814,8.01144278857742,9.31321169473477
ENSG00000006062,8.3064454334003,8.58283438834613,8.23353889024154,7.92561365514675,9.88600731261711,8.5856534017888,8.26154069728392,10.7838974930265,10.2754685915141,8.38035103001704,8.18082637587636,10.2106252789792,9.36146911937981
ENSG00000006071,9.27629314166744,7.90352190921251,9.36998222784956,6.14377874981657,5.96380252521584,6.19733769597893,9.42304749813819,5.94731326713325,6.76445651372974,8.19717906772937,9.67645949890573,5.86864765685139,6.82085904203488
ENSG00000006116,11.0491256959301,5.68284451378311,11.0437601395755,5.68284451378311,5.96380252521584,5.68284451378311,10.8244400823232,6.05633982564,5.68284451378311,5.68284451378311,11.5430106049931,5.94542887688259,5.68284451378311
ENSG00000006128,8.35022484277796,5.68284451378311,8.18486322231813,5.68284451378311,5.88166853947583,5.68284451378311,7.97319659691212,5.68284451378311,5.88153238041385,5.68284451378311,9.30706355245212,5.86864765685139,5.68284451378311
ENSG00000006210,11.5648257179601,11.2685226658375,11.3289732500052,9.79916240920346,10.2168643639607,9.03222917968081,11.3999595330499,10.4813076547853,10.3933863893617,9.3195165996547,12.4196963023896,9.67129197733127,9.16489173051752
ENSG00000006282,9.79939855284155,10.0956238499639,10.1840953511467,7.7197111863046,8.12906810425888,8.98554115843806,10.0368238813115,10.4377980071832,9.05804917334395,8.66692951982142,10.3655347170032,9.19333704252427,8.91984539263301
ENSG00000006283,8.07679973580282,6.64290362080368,8.51851963413418,6.63637508305884,6.07955627300595,5.89381224656971,8.13317056567093,6.76518494890066,6.07928586664725,7.46043474650345,8.75539788521468,6.0971747956875,6.40354666508965
ENSG00000006327,6.46434256863875,9.68831773582703,7.03367239191093,11.2395865116243,12.857703861842,11.3939676599996,6.78394869817301,11.2186975889015,11.2456108352318,7.0019780807456,6.39119625348737,10.5427689093354,10.2990835228235
ENSG00000006432,10.5036519400202,7.68787274381147,10.7900677681176,5.97510639371777,7.68080309656677,7.12943189120207,10.5996658290465,8.77102720306059,8.18382300036236,7.56314488689433,10.8316316040199,8.3787782937334,7.36899080699798
ENSG00000006453,6.1711226666751,5.94861164591972,6.60661161671342,6.0404866650518,7.0766135421671,6.31133031623087,6.55271746150895,6.27096230479999,9.76592610459899,6.01659436100509,6.39119625348737,6.3956810700989,6.70915319507894
ENSG00000006468,9.72003825929963,12.8456574635526,9.42212767430098,12.6187942213941,10.913436529812,11.0623199999024,9.25509166842498,11.4665968172619,10.4038311006784,14.4371135125236,9.76556872682317,11.6667492734741,12.0930577329749
ENSG00000006534,6.81460021445867,9.07955759869089,6.95179252460564,8.48247510155155,8.40199048768035,8.58985464775262,6.73165055589521,9.81588095922179,9.38731886599179,7.65801544241453,6.79861545641394,8.99585677233581,8.46082774951403
